userid,pazienti,prescrizioni
¶0QUQ#5,579,259
"A.A^,BD",634,259
¶69=&¶U,373,257
A:}(>EC,300,250
RBJYW84,591,249
^HNM>)S,506,247
A=DOT{:,758,243
^©OPKW4,417,241
A.-2(Z},445,241
A¶_F98;,794,239
*]./RG7,179,236
A.-PHS1,430,234
A¶;O-©{,310,222
A:Z/UDW,380,220
A.YVZUV,371,218
CPNWSFM,530,216
A=*Z@;@,555,213
A:2^;=/,454,208
^?FBI05,519,208
A=U©[T@,574,207
A::?T$_,376,195
^B;*0@E,263,192
A.QN|{T,266,188
A.RXKS8,402,187
A.9!}2<,423,187
"A¶,<^(0",355,186
7YJKVS8,230,183
¶9S<|ZI,574,178
^W=©95V,455,177
¶WD_0*7,364,173
¶R$C;C2,492,168
A.*)^(@,314,166
^.V{*?1,354,165
A:OBQ=Z,604,164
A.&P_TD,312,163
A=00¶N3,279,161
A:_;G0©,375,160
A¶_F9JQ,734,160
A.@{&QY,335,158
¶CP:E0L,711,146
67QP42J,308,140
¶¶/4.!1,336,139
¶X*..[9,399,138
A.L;V8<,441,134
A=EW|7B,446,132
A.}©9P[,358,131
A=$$P(@,523,129
"^@D]*,7",341,129
Q5T9Q3Q,177,121
A=X-©$0,342,120
A:++=E©,305,119
A.1*E{N,303,114
"A.@¶W,K",205,114
¶*4/>3I,450,114
A:SG)&L,319,112
A.]X1JH,221,112
A.0PG@¶,295,110
A.NH)OC,236,106
A.{}<K8,197,105
A.4N#0A,119,99
A.8;6YU,226,95
A.DGIC>,225,90
A:X)[K3,251,89
A.RN7?7,266,89
¶57^Z-H,236,88
^@88T/3,199,86
MMGWUGJ,248,86
A.^$VDX,206,85
A.S|C5@,242,85
2GR6TPC,285,85
A.Y]1J|,264,83
A=QY¶UC,154,82
¶C+=3{M,219,82
A:9[9*<,172,75
A:G}1TQ,233,75
A.G0**?,391,75
A.BV9V],218,73
NTEQT7B,198,72
A.?+|/5,163,72
"A=©KB9,",105,71
A.US=OC,155,70
PDYCUC5,247,70
967XUNA,267,69
A.U|;^_,212,69
A.=LV07,155,69
A.UZ?ZV,199,67
A.LA;RM,198,67
A::8).*,87,67
A=QOO:_,246,66
WBNYYRF,54,66
A.C/E^1,193,64
A.D#©G-,197,64
A:<X/©$,172,63
A.X#&JV,174,62
A.*<|D{,154,61
466TDYM,212,61
A:L{^)7,141,59
PWWMU1M,219,58
A=2>T.;,174,58
A.U©FIM,208,57
JRCUV61,85,57
A:RZ#<T,134,56
A.PJ^U!,233,55
A.FONZO,176,55
A=Z;#!P,20,55
A:)/++6,168,55
A.V6+Z=,164,55
A=KTX-D,58,55
EFWSVFM,83,54
A:OKU)2,210,54
A.<]_|0,132,53
A.HB:)H,207,53
XBWWUUX,241,53
A.ZEK4{,165,53
A=PZ¶-L,135,51
A¶_F9T{,410,51
9NQFYQ5,173,51
A./K+FO,173,51
A.YPGUE,258,50
A:K$SEZ,190,49
A=>ZEFR,168,48
KRWTQRF,171,48
^]2A3)B,188,47
WYPFRYM,145,46
A./N]0V,105,46
A.-W)>],110,45
A:XEPJ9,124,44
"A=¶:,@[",136,43
A:2^;*T,153,43
A.C>@PI,191,43
A.V6K][,94,42
A.W@*CU,182,42
A.}A#5^,148,41
A=<Q<=¶,143,41
^C3K#WS,77,41
A.QK:]5,113,41
*#U:|!Q,167,41
"A.(/,A8",146,40
"A,1{+D@",107,39
A.E$WB0,148,39
A:[}[?<,100,38
A.^©NWV,122,38
