userid,pazienti,prescrizioni
FWF9QGJ,8,10
"A:D:,C>",70,10
"A,213)1",25,10
A.U<S&(,36,10
PGW7RQ5,38,10
"A.,@T^¶",58,10
"A.S,;+D",42,10
A=#OFV7,59,10
A=3S}S*,43,10
A.^L]P|,35,10
2BRTSGJ,12,10
A.US.[},65,10
A.U_1D-,101,10
XWHWDX6,10,9
MQT5VUX,66,9
A.^8U+N,49,9
A.DHI.$,34,9
A.U70@D,68,9
ECTKRRF,96,9
RNKSQHQ,94,9
A.¶.2©<,82,9
A:[090R,25,9
A.U^K)A,24,8
A.UDWS7,26,8
A:>VK>5,49,8
A.V[J/5,31,8
A.XZ=(1,20,8
A.2QBQH,59,8
A.&12M¶,32,8
A:(0¶?9,22,8
^.U[KT3,117,8
A.B&)P¶,37,8
MHPTW9E,49,8
A.?+V74,53,8
A:_#![=,36,8
A./<Z0¶,19,8
A=:L(/6,40,8
A=N]8XP,27,8
A.*=V:),30,8
A:/>¶3V,30,8
A¶&([YR,108,8
A=?©#U_,50,8
"A,1.FM<",52,8
A.*[$©H,60,8
"A,0)SGS",30,7
"A,1)O#I",49,7
A.R*©:X,131,7
A.UD(KC,23,7
"A,29&}2",21,7
"A,2D}*}",32,7
A.UZ((H,29,7
A.F?NWG,35,7
A=6&<:?,31,7
A.2HI-A,64,7
A.(]];X,43,7
A.T/81!,38,7
A:-MID),93,7
A.*7K}4,40,7
A.^25)V,39,7
A.X]$3),19,7
A.|_XD7,25,7
8STWSE8,84,7
A=N@P;1,39,7
A.YZ!<;,43,7
A:K$SEZ,190,6
A.UD1V[,40,6
A.*=X}¶,27,6
A.^.?PM,32,6
A.*3N9N,38,6
¶]_*#}3,37,6
A.¶#©&/,23,6
¶3?WKAI,65,6
"A.TR,+8",49,6
"A,213*G",22,6
WYHQQWM,18,6
"A,2;])0",31,6
A.N?G-},32,6
A==J©WM,47,6
A:286Y$,26,6
A.BCO]2,36,6
A.$U;QU,33,6
A:T{Z49,87,6
A.U=?7Z,31,6
"A,2)©T_",20,6
A.UPJ=K,51,6
A.*)^(@,314,6
A:>6X17,21,6
A.6Y;Z/,26,6
A.S*)17,28,6
NBJGRNA,81,6
A.{$/(5,24,5
A.GY2;I,42,5
A.DHL9M,23,5
A.D48$),20,5
A.UC=_A,22,5
"A.B!Z!,",47,5
A.9[U9F,29,5
"A.3J4L,",30,5
A.¶3*-4,21,5
A.+#2#E,11,5
A.}H¶-^,56,5
A.}©+$G,22,5
A.{WBK!,47,5
A.{625#,28,5
A.^L43$,39,5
A.^1)Y],37,5
A¶@{P#N,45,5
A.*J>:],37,5
A.*+C2=,32,5
A.*[>@4,23,5
A:<X/©$,172,5
A.*[-*:,16,5
A.(L^?A,17,5
A:4¶OKD,43,5
"A:5EI[,",48,5
A.#X©U),15,5
"A,2X@N=",39,5
"A,2N480",30,5
"A,2)!{(",26,5
"A,1W6@=",21,5
A:L{^)7,141,5
5JEKRA2,2,5
¶M/9+BN,43,5
A.P2?W|,51,5
"A,1@CEY",9,4
A.P6-FL,13,4
